Fecha,DAU,Usuarios_Concurrentes_Pico,Juego
2022-06-01,1294,83,Proyecto Aurora
2022-06-02,1315,80,Proyecto Aurora
2022-06-03,1355,87,Proyecto Aurora
2022-06-04,1307,86,Proyecto Aurora
2022-06-05,1378,96,Proyecto Aurora
2022-06-06,1400,90,Proyecto Aurora
2022-06-07,1443,84,Proyecto Aurora
2022-06-08,1430,88,Proyecto Aurora
2022-06-09,1374,99,Proyecto Aurora
2022-06-10,1454,91,Proyecto Aurora
2022-06-11,1420,113,Proyecto Aurora
2022-06-12,1498,126,Proyecto Aurora
2022-06-13,1478,118,Proyecto Aurora
2022-06-14,1506,123,Proyecto Aurora
2022-06-15,1498,121,Proyecto Aurora
2022-06-16,1519,127,Proyecto Aurora
2022-06-17,1521,108,Proyecto Aurora
2022-06-18,1430,88,Proyecto Aurora
2022-06-19,1477,100,Proyecto Aurora
2022-06-20,1495,83,Proyecto Aurora
2022-06-21,1459,81,Proyecto Aurora
2022-06-22,1404,83,Proyecto Aurora
2022-06-23,1404,84,Proyecto Aurora
2022-06-24,1472,98,Proyecto Aurora
2022-06-25,1460,92,Proyecto Aurora
2022-06-26,1524,123,Proyecto Aurora
2022-06-27,1524,106,Proyecto Aurora
2022-06-28,1487,96,Proyecto Aurora
2022-06-29,1577,116,Proyecto Aurora
2022-06-30,1540,95,Proyecto Aurora
2022-07-01,1562,107,Proyecto Aurora
2022-07-02,1510,101,Proyecto Aurora
2022-07-03,1502,119,Proyecto Aurora
2022-07-04,1477,87,Proyecto Aurora
2022-07-05,1517,91,Proyecto Aurora
2022-07-06,1517,93,Proyecto Aurora
2022-07-07,1460,106,Proyecto Aurora
2022-07-08,1516,93,Proyecto Aurora
2022-07-09,1457,102,Proyecto Aurora
2022-07-10,1529,104,Proyecto Aurora
2022-07-11,1563,95,Proyecto Aurora
2022-07-12,1565,94,Proyecto Aurora
2022-07-13,1563,90,Proyecto Aurora
2022-07-14,1556,93,Proyecto Aurora
2022-07-15,1546,96,Proyecto Aurora
2022-07-16,1534,84,Proyecto Aurora
2022-07-17,1533,94,Proyecto Aurora
2022-07-18,1528,97,Proyecto Aurora
2022-07-19,1524,85,Proyecto Aurora
2022-07-20,1509,77,Proyecto Aurora
2022-07-21,1572,83,Proyecto Aurora
2022-07-22,1575,91,Proyecto Aurora
2022-07-23,1583,102,Proyecto Aurora
2022-07-24,1595,111,Proyecto Aurora
2022-07-25,1605,116,Proyecto Aurora
2022-07-26,1550,95,Proyecto Aurora
2022-07-27,1562,90,Proyecto Aurora
2022-07-28,1556,97,Proyecto Aurora
2022-07-29,1614,100,Proyecto Aurora
2022-07-30,1597,94,Proyecto Aurora
2022-07-31,1674,104,Proyecto Aurora
2022-08-01,1703,96,Proyecto Aurora
2022-08-02,1666,99,Proyecto Aurora
2022-08-03,1682,91,Proyecto Aurora
2022-08-04,1682,110,Proyecto Aurora
2022-08-05,1649,96,Proyecto Aurora
2022-08-06,1597,89,Proyecto Aurora
2022-08-07,1623,93,Proyecto Aurora
2022-08-08,1637,93,Proyecto Aurora
2022-08-09,1583,73,Proyecto Aurora
2022-08-10,1566,81,Proyecto Aurora
2022-08-11,1554,94,Proyecto Aurora
2022-08-12,1547,100,Proyecto Aurora
2022-08-13,1477,76,Proyecto Aurora
2022-08-14,1518,95,Proyecto Aurora
2022-08-15,1554,91,Proyecto Aurora
2022-08-16,1520,89,Proyecto Aurora
2022-08-17,1514,81,Proyecto Aurora
2022-08-18,1476,76,Proyecto Aurora
2022-08-19,1481,79,Proyecto Aurora
2022-08-20,1464,78,Proyecto Aurora
2022-08-21,1435,95,Proyecto Aurora
2022-08-22,1421,75,Proyecto Aurora
2022-08-23,1403,88,Proyecto Aurora
2022-08-24,1418,74,Proyecto Aurora
2022-08-25,1414,76,Proyecto Aurora
2022-08-26,1415,105,Proyecto Aurora
2022-08-27,1369,93,Proyecto Aurora
2022-08-28,1403,93,Proyecto Aurora
2022-08-29,1441,85,Proyecto Aurora
2022-08-30,1425,76,Proyecto Aurora
2022-08-31,1470,84,Proyecto Aurora
2022-09-01,1461,75,Proyecto Aurora
2022-09-02,1442,80,Proyecto Aurora
2022-09-03,1411,85,Proyecto Aurora
2022-09-04,1419,93,Proyecto Aurora
2022-09-05,1453,80,Proyecto Aurora
2022-09-06,1444,96,Proyecto Aurora
2022-09-07,1426,81,Proyecto Aurora
2022-09-08,1388,84,Proyecto Aurora
2022-09-09,1401,73,Proyecto Aurora
2022-09-10,1398,85,Proyecto Aurora
2022-09-11,1389,91,Proyecto Aurora
2022-09-12,1401,102,Proyecto Aurora
2022-09-13,1388,80,Proyecto Aurora
2022-09-14,1368,79,Proyecto Aurora
2022-09-15,1378,74,Proyecto Aurora
2022-09-16,1362,69,Proyecto Aurora
2022-09-17,1338,83,Proyecto Aurora
2022-09-18,1383,80,Proyecto Aurora
2022-09-19,1387,85,Proyecto Aurora
2022-09-20,1388,92,Proyecto Aurora
2022-09-21,1343,81,Proyecto Aurora
2022-09-22,1383,87,Proyecto Aurora
2022-09-23,1452,105,Proyecto Aurora
2022-09-24,1383,107,Proyecto Aurora
2022-09-25,1368,107,Proyecto Aurora
2022-09-26,1355,92,Proyecto Aurora
2022-09-27,1315,84,Proyecto Aurora
2022-09-28,1294,102,Proyecto Aurora
2022-09-29,1265,80,Proyecto Aurora
